лабораторный,1
крестьянский,39
парадный,150
полотняный,6
относительный,1869
рубленый,67
мешаный,6
штормовой,37
очарованный,4
тучный,24
комнатный,717
маловероятный,3
англо-китайский,1
мешкообразный,1
влажный,1053
нежный,923
азартный,40
мясной+,1
суточный,45
очаковский,2
столовский,78
дерганый,2
предприимчивый,123
форсированный,0
темно-зеленый,55
предельный,171
ладный,872
глазной,5
граммовый,54
неосуществимый,1
соловый,1
запотелый,3
снобистский,5
парной,390
безработный,7
барышный,1
травоядный,15
импозантный,56
ядовито-синий,1
анкерный,4
шелковистый,22
скандальный,49
водянистый,98
прошлый,4996
холодненький,38
апокалиптический,2
свежеокрашенный,2
мандаринный,3
психический,7
вероятный,343
всяческий,565
микроскопический,107
парашютный,1
якорный,7
хабаровский,3
настроенный,201
неощутимый,4
белоснежный,1448
плоскостной,1
перерабатывающий,1
позывной,4
худой,1371
юго-восточный,87
сиплый,3
саночный,2
преимущественный,227
громкоговорящий,8
безграничный,52
обонятельный,1
аустерлицкий,1
правый,1911
замерзлый,9
истерзанный,9
нежданный,19
прилетный,3
задний,520
худенький,66
пьяненький,14
басовый,5
музейный,159
лежалый,164
всевидящий,2
исполнительный,110
юродивый,1
бравый,84
бакинский,47
бисквитный,106
больничный,50
кружевной,51
универсальный,100
описательный,2
мандариновый,129
внеочередной,4
склизкий,31
всевозможный,1691
несостоятельный,2
проктологический,2
баночный,75
ромбовидный,1
непроизносимый,4
барселонский,36
инкский,2
устричный,9
укромный,122
геополитический,2
влекущий,8
дивный,260
бюджетный,604
свежеприготовленный,93
указанный,610
юниорский,2
окружающий,495
мелодичный,65
нескорый,6
гребной,3
умоляющий,2
кайенский,3
питательный,106
оптический,11
административный,233
фешенебельный,127
непогожий,2
полусырой,57
недостижимый,2
изысканный,385
спонсорский,5
хозяйственный,134
венценосный,4
измученный,172
восхищенный,42
кисловатый,76
осадный,3
пиратский,312
нартовский,1
непотребный,37
нетуристский,3
предупредительный,346
кремлевский,41
подавляющий,336
лодочный,45
пасторальный,3
спортивный,2363
тип-топ,9
жвачный,6
пятигранный,3
неподвластный,2
лимфатический,3
контактный,110
субтропический,20
нашатырный,2
заливный,37
объемный,86
осторожненький,2
ободряющий,2
кардинальный,34
транзитный,103
тарифный,5
орандж,2
полумесячный,1
чалый,1
корпусной,17
женьшеневый,2
пучковый,1
разрешающий,4
профессиональный,1519
древнеримский,41
донорский,1
внушительный,181
единовременный,13
невоспитанный,185
достопочтенный,5
неглубокий,341
пренебрежительный,130
арабский,2108
ругательный,23
театральный,139
необдуманный,1
одиннадцатилетний,7
душистый,63
богатенький,5
двухтысячелетний,3
двухсторонний,13
филиппинский,37
азорский,6
отцовский,1
условный,195
сверкающий,102
выездной,116
подкапотный,2
эзотерический,4
месячный,67
окольный,1
органичный,58
электромеханический,1
несъедобный,356
неопытный,40
блестящий,167
небутафорский,1
гваделупский,3
краткосрочный,28
конькобежный,1
божественный,145
здешний,104
верченый,7
харовский,2
занятый,501
неиспорченный,15
восточный,2068
ниагарский,6
плавучий,189
хеттский,4
физический,152
пареный,275
хлюпкий,2
крестообразный,7
шутливый,26
марокканский,156
императорский,137
узколобый,4
казанлыкский,1
нестарый,37
термостойкий,2
чистокровный,11
временной,149
переносной,75
тотемный,5
заглавный,10
ровный,1471
непредсказуемый,50
ивовый,2
сметанный,17
отчетный,9
брачный,23
привокзальный,57
томный,18
мимолетный,10
общеупотребительный,5
масштабный,62
огненный,175
трускавецкий,2
ножной,46
диетический,1356
сферический,4
неритмичный,2
ловкий,92
хитрющий,5
каталанский,14
резаный,250
волейбольный,449
чужеземный,5
заводной,231
бурый,66
неподходящий,30
холуйский,1
дружественный,167
частый,4065
волосатый,56
схожий,67
столярный,2
иноязычный,4
лирический,114
святой,1423
затишный,3
забористый,10
подвесной,137
гидрологический,2
истекший,1
возвышенный,18
ленный,16
полиграфический,1
рассыпчатый,29
трудный,1153
журналистский,2
ранний,2971
отечественный,199
картинный,44
брестский,4
отчетливый,96
ренессансный,4
несербский,1
полный,8431
контрактный,2
растроганный,3
легкодоступный,1
молотковый,4
футовый,2
арендный,15
неаполитанский,24
межзубный,1
скрипучий,141
пристальный,85
удовлетворительный,139
обуховский,4
многотрудный,3
акробатический,44
душевой,2383
обманный,13
полуночный,7
уместный,66
витринный,1
малонаселенный,13
малоценный,1
перильный,2
будний,203
старорежимный,3
реповый,2
нерабочий,39
недозревший,35
исходящий,64
приходный,4
обязанный,36
альтернативный,80
пришибленный,3
обитаемый,15
огуречный,19
веселый,8264
английский,10088
голубой,2082
опорный,17
негаданный,4
безалкогольный,1030
передаточный,1
великанский,0
удобоваримый,45
угловой,556
политический,104
музыкальный,708
ливерпульский,2
черногорский,31
безветренный,51
венецианский,179
камнерезный,2
беспорядочный,19
природный,588
интернациональный,368
резной,271
неостывший,2
желтенький,44
мужественный,29
тонковатый,6
эвкалиптовый,73
чернокожий,67
бумажный,356
студийный,2
вербеновый,2
прибалтийский,26
грифельный,5
великобританский,1
вермишелевый,31
сравнительный,340
неподкупный,2
впечатлительный,51
художественный,207
умиротворенный,86
безмятежный,93
струйный,1
культурологический,1
необходимый,3577
хлорный,26
межличностный,5
словацкий,43
бесконечный,812
классный,4083
неизведанный,43
кариозный,1
разный,20229
декоративный,272
широченный,129
вездесущий,120
привозной,277
наступательный,2
анатолийский,20
распрекрасный,14
бликовый,2
приоритетный,21
заметный,616
крайний,4626
поразительный,142
каждодневный,128
персональный,254
визитный,22
преподобный,2
левый,2115
подъемный,22
мифический,42
пластичный,34
плачевный,85
дарвиновский,1
овальный,39
надзорный,2
лазаревский,39
трагичный,8
страстный,89
примитивный,357
конкретный,724
истомленный,2
фееричный,23
ананасовый,338
гнедой,1
дополнительный,2425
хрусткий,1
оригинальный,1009
разведывательный,1
остроугольный,2
перевязочный,2
пейзанский,1
номенклатурный,2
крученый,16
статочный,5
полусогнутый,4
понедельничный,1
бодрый,271
наваристый,33
виноградный,118
мансийский,1
синхронный,72
надувательский,2
пуховый,36
свиной,290
бездарный,65
гончарный,77
семикратный,1
слеповатый,1
занудный,41
организованный,833
христианский,108
умственный,19
многотонный,1
дикий,2637
благозвучный,4
вышгородский,5
порожистый,6
мученый,1
однокомпонентный,3
падкий,14
малозаметный,5
отменный,704
тронутый,40
москворецкий,3
кизиловый,7
смягчающий,2
многоразовый,160
продуктивный,9
дохлый,137
дружный,385
высокомерный,102
несладкий,138
объективный,486
госпитальный,1
совкий,53
карачаевский,2
мореходный,1
взрослый+,11
веретенный,1
нагревательный,6
съедобный,1464
послеобеденный,155
тройной,45
коричневый,477
рождественский,335
нелегкий,111
соковой,9
усатый,55
нежелательный,31
здравый,84
разверстый,1
бразильский,176
нерусский,34
отходчивый,1
бассейный,3715
небывалый,36
отражательный,1
скорый,1073
шестисотлетний,2
гавайский,12
абхазский,83
патриотичный,0
правдивый,77
дурной,106
золотовалютный,2
пропускной,37
внешнеэкономический,2
узловой,5
побочный,26
нечленораздельный,8
исфаханский,1
результатный,2
нетрадиционный,50
очистный,51
замерзающий,2
доломитовый,8
спешный,28
поднебесный,32
тягомотный,1
ежедневный,3913
космополитичный,2
панамский,1
согбенный,5
неприкасаемый,3
питерский,222
пиритовый,1
спорый,10
грунтовой,60
простой,30594
идиотический,3
прочувственный,1
связанный,619
жестокий,112
малокалорийный,4
рутинный,2
нотный,1
аспирантский,2
паштетный,5
нежизненный,1
небогатый,104
громковатый,2
низкорослый,41
барабанный,14
оздоровительный,266
открытый+,1
давешний,1
терпкий,76
швейный,46
плавкий,26
суверенный,2
неосознанный,1
литургический,1
очистной,51
позволительный,1
неприкосновенный,1
длиннющий,130
полковой,1
алжирский,5
блохастый,4
галечный,1725
градусный,113
хорошенький,151
цикличный,1
грязелечебный,1
прямоугольный,169
целодневный,2
цирковой,108
худощавый,34
демонстрационный,4
съемный,45
сортный,2
годичный,16
узкопрофессиональный,2
армянский,82
развитый,209
надомный,4
кольцевой,49
угледобывающий,1
минойский,54
беспородный,-1
туманный,71
роскошный,1148
норковый,38
оборонительный,28
убийственный,50
приключенческий,7
ступинский,2
смотровой,534
нескончаемый,70
подспудный,1
малоимущий,2
некритический,5
людный,166
крысиный,7
палатный,1
собирательный,9
жизнеспособный,1
ожидающий,75
температурный,29
апельсинный,7
скоромный,5
недостаточный,390
декадный,1
полуголый,41
словарный,71
отделочный,63
советский,1784
объяснимый,21
скользящий,17
садкий,5
дамский,63
парижский,119
пристойный,258
совершеннолетний,7
форточный,2
кавернозный,1
товарный,16
крапивный,42
певучий,11
растянутый,48
вежливый,10747
гитарный,7
моментальный,250
мокренький,3
выносной,17
южнорусский,3
курортный,1213
исподний,1
австралийский,53
жгучий,92
нестойкий,2
ломовой,31
излучающий,7
эрудированный,107
планерный,1
подвластный,2
бесшумный,143
фактический,86
кондитерский,329
изменчивый,8
математический,9
бедный,1357
заведомый,22
декретный,1
вместительный,401
кромешный,40
кислотный,19
возрастной,153
сиднейский,1
заржавелый,2
туристский,69
нагорный,3
сортовой,4
двухдневный,76
тепловатый,1
именинный,3
зерновой,40
танцующий,242
андамантский,1
уникальный,714
варфоломеевский,2
процентный,57
ломаный,711
недотепистый,2
изломанный,6
рулеточный,2
деревянный,2755
пастельный,171
заиндевелый,1
красочный,759
портовый,105
грабительский,28
подробный,1321
картографический,1
безуспешный,60
слезливый,3
туземный,13
подхалимский,4
хлебобулочный,73
бесперспективный,1
лечебный,677
копченый,272
своеобразный,760
маринованный,334
истринский,19
взлетный,76
игральный,27
иудейский,20
лондонский,76
отборный,99
отходный,10
облицовочный,7
близкий,7619
бескрылый,1
удобопонятный,1
негладкий,2
подтянутый,37
пляжный,6547
доподлинный,3
стерильный,62
невыровненный,2
батистовый,2
повальный,19
жестковатый,59
профилактический,19
кургузый,3
разноречивый,4
трапециевидный,5
водосточный,5
основательный,134
меленький,95
закоренелый,2
уездный,12
тиковый,56
глиняный,132
дюралевый,1
безмоторный,30
проезжий,245
неспелый,156
тепленький,60
ярусный,61
перегородчатый,2
молекулярный,1
импортный,992
толстощекий,2
располагающий,94
шквалистый,2
поворотный,7
неэффективный,3
лимонный,470
четкий,1970
ониксовый,25
действительный,7881
зелено-синий,2
балкарский,2
синтоистский,3
церковный,86
толстокорый,2
независящий,3
одиночный,79
равнозначный,15
единый,741
ненормальный,92
учтивый,217
лавинный,2
янычарский,1
пронизывающий,54
протокольный,2
манежный,1
пустырный,1
израильский,132
обходный,8
обыкновенный,467
подленький,1
недальний,1
благотворный,12
подвижной,97
русский+,3
пылевой,1
переездной,2
родословный,3
десятиметровый,3
сверхсложный,1
пригласительный,19
полотенечный,12
обвальный,1
спаржевый,9
полунатуральный,2
неограниченный,561
трясучий,2
милосердный,1
старый,16576
вздорный,1
смирный,15
пластилиновый,6
необычный,1586
первобытный,37
горячий,10139
диспетчерский,3
косой,179
досточтимый,1
даниловский,6
тугой,106
сквозной,39
пансионный,5
швартовый,1
марлевый,1
ведренный,1
смысловой,7
угарный,4
адресный,1
бесталанный,1
общегосударственный,1
непрестанный,9
вербный,3
бабинский,2
козловский,1
равномерный,50
кособокий,10
отрывочный,3
строгий,807
катальный,2
дурацкий,303
надводный,26
существующий,74
тенистый,450
укрытый,43
яблоневый,6
дешевый,7381
черненький,41
точеный,3
общий,26771
вахтенный,2
бесповоротный,7
роттердамский,1
колонный,53
мавританский,77
мускусный,1
слабонервный,99
покровский,73
исландский,12
доброжелательный,7684
коксовый,2
неторопливый,337
каргопольский,1
упитанный,85
экзотичный,214
театрализованный,71
противоречивый,117
бесчисленный,228
фиговый,54
уродливый,48
мультимедийный,6
перегретый,5
водолечебный,1
фланелевый,3
обременительный,8
маловразумительный,4
тигровый,183
шлюпочный,3
междугородний,52
ставропольский,3
антинаучный,2
западноевропейский,6
пистолетный,2
символьный,1
несмертельный,1
искренний,510
штильный,3
огнестрельный,4
вековой,127
меченый,5
приветный,8
двухзначный,2
высохший,89
вышеописанный,89
августейший,2
здоровенный,240
бесплодный,11
комфортабельный,1381
мористый,1
многочасовой,66
творожный,105
дощатый,26
вышеизложенный,59
противный,850
лиловый,45
парфюмерный,132
метеорологический,2
разливной,482
инкубаторный,1
пластинный,1
композиционный,2
лыжный,104
испаноязычный,3
раковинный,2
головной,176
выходной,1812
сараевский,3
гадливый,2
ароматный,299
малоперспективный,1
языковой,401
пароходный,1
повышенный,370
свекольный,23
одинарный,34
внутривенный,4
оседлый,3
несвежий,218
нечастый,56
винтовой,176
нелестный,46
романский,34
рукотворный,55
облезлый,211
краеведческий,48
экономичный,347
гротесковый,1
неимущий,3
необязательный,86
драповый,1
уничижительный,2
пресловутый,215
казацкий,1
сложный,1777
старообразный,1
экстремальный,237
ветряный,56
многокрасочный,10
дремучий,19
регулируемый,76
попсовый,39
колючий,148
полулитровый,2
бильярдный,344
немецко-фашистский,1
трехдневный,40
экзаменационный,2
седой,40
мохноногий,1
пушкарский,22
опытный,402
соседский,61
робкий,42
денной,6
православный,282
ажиотажный,6
заботливый,478
травянистый,25
боевой,123
классицистический,2
нагатинский,2
подледный,1
ближневосточный,9
разбойный,1
культурный,1257
двуликий,3
строгановский,1
разгневанный,9
адекватный,961
метафизический,2
маховой,1
плакучий,4
терпимый,357
итальянский,8463
керкирский,1
рейнский,5
жеманный,5
крымский,197
титульный,3
расширенный,80
андаманский,19
адмиральский,5
извилистый,332
опасливый,3
честный,3636
иммунологический,2
кишечный,114
еврейский,128
одновременный,513
хозяйский,36
тонкий,912
елисейский,73
овсяной,177
приемлемый,1148
приплюснутый,4
нестриженый,1
недрогнувший,3
будничный,13
золотой,1649
противомалярийный,1
равноценный,32
обездоленный,2
смуглолицый,1
нетипичный,45
красивый+,1
сигнальный,7
подковообразный,11
перекидной,5
миндальный,36
ракетный,5
оборотистый,2
двухнедельный,76
откровенный,805
египетский,2117
равный,3718
настоенный,4
носильный,1
гринвичский,2
маргариновый,1
норвежский,48
холодный+,1
отрядный,2
американский,789
неизменный,204
ликийский,68
неувядающий,2
узенький,544
светло-голубой,6
прим,3
усвояемый,2
минутный,374
наплавной,3
кипяченый,18
пьющий,181
мелкомасштабный,3
бесшовный,3
тоскливый,72
солидный,418
слабый,1738
темно-коричневый,25
мелкооптовый,1
уходящий,159
каирский,152
желчный,10
пружинистый,3
осветительный,14
нелитературный,4
коренной,122
высокотемпературный,3
посттравматический,1
селедочный,2
иорданский,58
нагой,7
натянутый,86
торгашеский,6
говорящий,1357
сотовый,171
ленинградский,47
крепленый,14
растворимый,492
каткий,104
непостоянный,13
внутрироссийский,2
фруктовый,3210
ниточный,2
фабричный,56
господский,3
промежуточный,97
многосоставный,3
плаксивый,3
самородный,2
польский,370
накладный,63
зазывной,3
хамелеоновый,3
теневой,54
энциклопедический,6
посильный,11
починный,-1
аморальный,7
ознакомительный,52
нехамский,2
легкомысленный,18
мостовой,96
пошехонский,12
пунктуальный,114
крещеный,1
малюсенький,888
пекарный,2
несимметричный,6
низкооплачиваемый,14
входящий,249
ровнехонький,2
сокращенный,30
нормандский,8
электронно-лучевой,4
помпезный,245
расположенный,4004
платиновый,7
ягодичный,2
прежний,284
кавалерийский,4
непризнанный,7
нанайский,2
ачинский,1
литой,10
длиннохвостый,17
ветловый,3
многодневный,8
поздноватый,38
неработающий,328
неотступный,3
несложный,91
заварочный,9
большой,86689
летаргический,1
роликовый,6
слоеный,314
искусственный,691
отрывной,7
залоговый,12
гостеприимный,970
светло-желтый,35
экскурсионный,1081
большевистский,1
настойчивый,324
изогнутый,60
разлитой,24
усыпляющий,2
пространный,10
арнаутский,5
луноликий,2
макаронный,243
дряхлый,31
малоинформативный,2
гитлеровский,2
языковый,432
абсорбционный,1
несмолкающий,5
фанерный,41
комплиментарный,1
коллекционный,36
готический,256
кривой,351
разварной,2
гончий,3
графитовый,3
чокнутый,8
ванный,11598
непокрытый,9
ультимативный,4
атмосферный,13
трехлетний,42
уплотненный,1
серый+,8
хлопковый,86
обувной,54
оптовый,53
ненасытный,5
потолочный,86
луженый,4
ошибочный,43
прыткий,6
зазывный,3
вьетнамский,356
авангардистский,3
нижегородский,33
набольший,5
гигиенический,74
гусиный,34
пегий,1
лесбийский,1
бескорыстный,22
меховой,92
пчелиный,6
клиентский,2
киевский,111
двустворчатый,6
волнистый,78
оранжевый,547
промозглый,79
невредимый,6
смекалистый,8
вышеупомянутый,97
неверный,79
владивостокский,1
телескопический,5
титанический,13
розоватый,25
очковый,12
беленький,226
криминогенный,1
шестиэтажный,48
раскованный,15
автобусный,673
подзорный,2
совместно-раздельный,3
самоговорящий,2
карельский,48
искристый,4
оранжево-желтый,2
дециметровый,2
шитый,6
входной,669
длинный,3727
новаторский,1
маршрутный,73
излишний,193
свежеотжатый,20
демонстративный,58
смолистый,5
субботний,52
трехэтажный,445
мензурочный,1
пауковый,4
газоносный,1
частичный,478
белогривый,3
шри-ланкийский,7
малосоленый,6
хриплый,10
посудомоечный,42
витиеватый,43
пигментный,2
бледно-голубой,1
безвестный,5
ионийский,1
сознательный,78
гражданский,49
непозволительный,9
креативный,33
недурной,52
мягковатый,3
ветхозаветный,3
огородный,1
перечисленный,364
псевдоклассический,1
консервный,25
сводной,1
слащавый,10
туковый,4
нестабильный,43
пригорелый,2
мерзостный,5
многогрешный,2
толстенный,53
тряпичный,26
вологодский,10
стыдный,331
тихий,16245
криминальный,46
трюфельный,7
пенный,634
трапезный,45
видалый,2
сопутствующий,67
мечтательный,12
тортовый,53
эстетический,72
региональный,66
каминный,30
мангровый,150
заветный,167
мочевой,2
информационный,445
настенный,114
защитный,89
внятный,85
ворсистый,2
межзвездный,1
солененький,9
бессметный,1
хлопотный,7
лабиринтный,1
земной,77
хрустальный,99
босой,48
нисходящий,1
унывный,2
внутренний,2488
североафриканский,6
скучноватый,428
пяточный,1
олимпийский,346
полезный,1063
орлянский,1
долларовый,1054
фиксированный,212
протяженный,252
неплохой,12456
хмельной,32
разговорный,170
долгоиграющий,14
вышитый,35
стебный,2
пластмассовый,463
стоковый,13
малайзийский,5
гармоничный,136
сувенирный,1663
непритязательный,291
деликатный,113
хищный,34
непроходимый,35
сотенный,77
мелкий,8962
герметичный,17
дагестанский,6
сдвижной,19
племенной,2
норильский,4
диаметральный,12
удручающий,147
натертый,41
синенький,34
двуспальный,909
неимоверный,230
прикольный,1908
зеленовато-синий,4
оправданный,26
фортепьянный,4
кобелиный,1
радушный,727
национальный,3479
немолотый,1
космополитический,1
розничный,1
крещенский,4
дрожечный,2
аграрный,7
предобеденный,6
сутулый,1
автоматный,6
тщедушный,4
развесистый,14
необъезженный,1
тепличный,6
преогромный,15
неотвратимый,3
обручальный,3
чернявый,2
бельский,1
дальнейший,909
анилиновый,2
брелочный,1
осенний,203
вообразимый,1
тропический,711
мелкозернистый,3
выборный,3
господствующий,4
муторный,69
порнографический,2
иностранный,700
званый,7
межпозвоночный,2
печеночный,1
необычайный,150
проводной,38
благоустроенный,261
маточный,4
разговорчивый,115
дерзкий,42
кресельный,43
андреевский,71
почтенный,68
федеральный,44
высококвалифицированный,23
сайменский,1
темнокожий,40
механический,44
высококачественный,39
зеленной,124
панцирный,1
двухстворчатый,11
круглолицый,2
необжитой,1
экскурсоводческий,5
вегетарианский,182
июньский,29
зулусский,17
котовский,1
угодный,537
бассейновый,400
дебетовый,2
углекислый,29
неэкзотический,2
гурьевский,2
двухпалубный,31
портретный,3
папиросный,3
свернутый,62
запарный,-1
чистосердечный,1
несносный,6
непредвзятый,14
квелый,3
многовековой,41
ежевичный,42
кожный,73
учредительный,2
охлаждающий,37
массачусетский,3
сытный,1177
южноуральский,1
калорийный,16
врезной,2
алкогольный,2422
анабиотический,2
партерный,1
вафельный,160
вертлявый,4
пулевой,3
соединенный,275
расчетный,99
ядовитый,155
ерундовский,1
дипломатичный,5
молчаливый,71
амбулаторный,1
верхневолжский,3
справедливый,71
заправочный,13
благовидный,1
полуфунтовый,1
окающий,2
греческий,2773
бутафорный,8
непременный,179
выразительный,39
нелетающий,1
сметный,1
бальзаковский,33
притягательный,33
гардеробный,195
триумфальный,42
адаптационный,1
бедняцкий,7
грузинский,102
цивильный,350
видовой,41
скрытный,1
хулиганский,1
феерический,55
тростниковый,64
волнующий,48
высотный,115
пустенький,2
знаковый,27
негабаритный,11
доступный,641
хореографический,26
мартиниканский,1
расходный,8
проливной,112
богословский,5
распашной,7
бубликовый,1
христорождественский,3
базовый,205
незатейливый,94
касательный,152
усталый,200
фунтовый,601
полутемный,49
мятый,216
неславянский,1
внебрачный,1
тошнотный,4
многопудовый,1
эстрадный,13
повинный,2
храмовой,48
неперебродивший,1
жидкокристаллический,22
просмотровый,8
отзывчивый,2763
нелимитированный,3
гравийный,6
обидный,526
ростовский,32
фигурный,57
ейский,6
книжный,94
лоховый,3
семимесячный,1
лохматый,37
полинялый,1
южнобережный,4
утиный,10
кофейный,387
клязьминский,1
бытовой,395
приближенный,73
опрятный,475
сетевой,141
избыточный,34
трехнедельный,9
строчной,2
сладкий,4955
поношенный,32
успокаивающий,18
громоздкий,51
бреющий,5
бойкий,91
сталинский,28
зависимый,62
азовский,77
широкополосный,5
меланхоличный,11
членистоногий,1
парнокопытный,6
принадлежащий,159
скучный,2058
